kinsler_sample_label,sample,assay,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
A0,M3-R1-T0,M3-R1,M3,1,0,3347507.0,0.002684750983822491,
A1,M3-R1-T1,M3-R1,M3,1,1,4885816.0,0.003794158895180197,4852.4223433242505
A2,M3-R1-T2,M3-R1,M3,1,2,8910028.0,-0.08484067861899301,6281.432581394211
A3,M3-R1-T3,M3-R1,M3,1,3,1036411.0,0.03294094608875292,465.0068960690129
A4,M3-R1-T4,M3-R1,M3,1,4,5206525.0,-0.02670924491415498,1482.0
B0,M3-R2-T0,M3-R2,M3,2,0,9830037.0,0.0018243538105722995,
B1,M3-R2-T1,M3-R2,M3,2,1,1989639.0,0.02260914486574073,2071.831978319783
B2,M3-R2-T2,M3-R2,M3,2,2,18659452.0,-0.03009150706261002,13100.14094409827
B3,M3-R2-T3,M3-R2,M3,2,3,20362738.0,-0.1055895619898084,7851.951454201784
B4,M3-R2-T4,M3-R2,M3,2,4,47819795.0,0.05459891718075156,13341.81300813008
C0,M3-R3-T0,M3-R3,M3,3,0,1413632.0,0.0015263434186012015,
C1,M3-R3-T1,M3-R3,M3,3,1,6405822.0,-0.01193042400834478,6320.333333333333
C2,M3-R3-T2,M3-R3,M3,3,2,14613357.0,-0.021172767656018724,11406.107660876762
C3,M3-R3-T3,M3-R3,M3,3,3,2722693.0,-0.05335572254229091,1528.2417879176726
C4,M3-R3-T4,M3-R3,M3,3,4,21449234.0,-0.0004933958521992998,8043.067750677506
D0,M3-R4-T0,M3-R4,M3,4,0,1452457.0,0.0016297959076292405,
D1,M3-R4-T1,M3-R4,M3,4,1,3909839.0,-0.028337505728831217,4511.915300546448
D2,M3-R4-T2,M3-R4,M3,4,2,2877255.0,-0.0019164927700308588,2520.724150786063
D3,M3-R4-T3,M3-R4,M3,4,3,4314103.0,-0.004702572468489339,2528.666579029479
D4,M3-R4-T4,M3-R4,M3,4,4,4964839.0,-0.02023014186136345,2062.5765027322404
3-0,EC3-R1-T0,EC3-R1,EC3,1,0,609514.0,0.00225709866805548,
3-1-1,EC3-R1-T1,EC3-R1,EC3,1,1,1356341.0,0.07392925908128722,915.418918918919
3-2-1,EC3-R1-T2,EC3-R1,EC3,1,2,2121809.0,-0.10896594121492342,828.2682799611392
3-3-1,EC3-R1-T3,EC3-R1,EC3,1,3,1584438.0,-0.010773309738309332,478.75937158544434
3-4-1,EC3-R1-T4,EC3-R1,EC3,1,4,3203355.0,0.04149046329341081,570.6216216216217
3-0,EC3-R2-T0,EC3-R2,EC3,2,0,609514.0,0.0004676985353773873,
3-1-2,EC3-R2-T1,EC3-R2,EC3,2,1,1938771.0,0.06248192164165463,1125.7368421052631
3-2-2,EC3-R2-T2,EC3-R2,EC3,2,2,2551400.0,-0.038430241739306634,725.2607116170649
3-3-2,EC3-R2-T3,EC3-R2,EC3,2,3,3100700.0,-0.11570028721101729,585.9522821958863
3-4-2,EC3-R2-T4,EC3-R2,EC3,2,4,2832465.0,0.08829655444192464,351.9561403508772
3-0,EC3-R3-T0,EC3-R3,EC3,3,0,609514.0,0.0024660169458124914,
3-1-3,EC3-R3-T1,EC3-R3,EC3,3,1,1259539.0,0.05495518787022834,846.5454545454545
3-2-3,EC3-R3-T2,EC3-R3,EC3,3,2,2051769.0,-0.11245823642010738,794.6252978324551
3-3-3,EC3-R3-T3,EC3-R3,EC3,3,3,2431569.0,0.053730786756664255,561.8135224240709
3-4-3,EC3-R3-T4,EC3-R3,EC3,3,4,3161827.0,-0.0005209323357450861,509.32323232323233
23-0,EC23-R1-T0,EC23-R1,EC23,1,0,1530803.0,0.00010561297015513516,
23-1-1,EC23-R1-T1,EC23-R1,EC23,1,1,1227998.0,-0.11830579959026304,1867.9824046920821
23-2-1,EC23-R1-T2,EC23-R1,EC23,1,2,1664821.0,-0.1254438743267525,1874.187957292964
23-3-1,EC23-R1-T3,EC23-R1,EC23,1,3,1498190.0,0.5716397670490077,1129.5636362985806
23-4-1,EC23-R1-T4,EC23-R1,EC23,1,4,1940380.0,-0.3482036945489973,927.7888563049853
23-0,EC23-R2-T0,EC23-R2,EC23,2,0,1530803.0,0.0002994571875342419,
23-1-2,EC23-R2-T1,EC23-R2,EC23,2,1,1477496.0,-0.018333401048083908,2239.254385964912
23-2-2,EC23-R2-T2,EC23-R2,EC23,2,2,1960979.0,0.019567267264317612,2412.068945732569
23-3-2,EC23-R2-T3,EC23-R2,EC23,2,3,2166322.0,-0.03285507853480331,1908.9083312419973
23-4-2,EC23-R2-T4,EC23-R2,EC23,2,4,2421463.0,-0.0013381143519373263,1344.169590643275
23-0,EC23-R3-T0,EC23-R3,EC23,3,0,1530803.0,-0.004665833627472188,
23-1-3,EC23-R3-T1,EC23-R3,EC23,3,1,1229373.0,-0.07094972353592009,1912.1788856304986
23-2-3,EC23-R3-T2,EC23-R3,EC23,3,2,1839677.0,0.06028350992453123,2381.856136920933
23-3-3,EC23-R3-T3,EC23-R3,EC23,3,3,1491357.0,0.043334042209295466,1476.1468520639341
23-4-3,EC23-R3-T4,EC23-R3,EC23,3,4,1807631.0,-0.0649893144585149,1324.7888563049853
21-0-1,EC21-R1-T0,EC21-R1,EC21,1,0,1984340.0,0.0020453993478683602,
21-1-1,EC21-R1-T1,EC21-R1,EC21,1,1,648164.0,-0.018991458444696376,877.6873065015479
21-2-1,EC21-R1-T2,EC21-R1,EC21,1,2,1538389.0,-0.2433721503505816,1634.0944760458076
21-3-1,EC21-R1-T3,EC21-R1,EC21,1,3,1106350.0,0.5219757252166577,792.4949288937568
21-4-1,EC21-R1-T4,EC21-R1,EC21,1,4,1758008.0,-0.27351179191421354,839.3715170278638
21-0-1,EC21-R2-T0,EC21-R2,EC21,2,0,1984340.0,0.002329106391296056,
21-1-2,EC21-R2-T1,EC21-R2,EC21,2,1,486568.0,-0.11557415729058824,687.8612099644129
21-2-2,EC21-R2-T2,EC21-R2,EC21,2,2,485523.0,0.06514847560310003,538.5146195875789
21-3-2,EC21-R2-T3,EC21-R2,EC21,2,3,1224148.0,0.21128889465144893,990.2415825320821
21-4-2,EC21-R2-T4,EC21-R2,EC21,2,4,1721069.0,-0.16576538697430798,964.1565836298932
21-0-1,EC21-R3-T0,EC21-R3,EC21,3,0,1984340.0,-0.00018885879804175762,
21-1-3,EC21-R3-T1,EC21-R3,EC21,3,1,1338544.0,0.02985647675619719,1811.1088235294117
21-2-3,EC21-R3-T2,EC21-R3,EC21,3,2,1410590.0,-0.04680470732385175,1553.0520561593387
21-3-3,EC21-R3-T3,EC21-R3,EC21,3,3,1875712.0,-0.028554762857447583,1649.1334660920916
21-4-3,EC21-R3-T4,EC21-R3,EC21,3,4,1647879.0,0.02444329251468335,1031.9823529411765
20-1-1,EC20-R1-T0,EC20-R1,EC20,1,0,398922.0,-0.0008934573135555515,
20-2-1,EC20-R1-T1,EC20-R1,EC20,1,1,1652478.0,0.040604026541967694,2420.491176470588
20-3-1,EC20-R1-T2,EC20-R1,EC20,1,2,1363545.0,-0.08533488222498299,1496.9766015771345
20-4-1,EC20-R1-T3,EC20-R1,EC20,1,3,866836.0,0.03978779766741316,617.385294117647
20-1-2,EC20-R2-T0,EC20-R2,EC20,2,0,1296857.0,0.0006878813437069447,
20-2-2,EC20-R2-T1,EC20-R2,EC20,2,1,1670307.0,0.01537769590071293,2413.958823529412
20-3-2,EC20-R2-T2,EC20-R2,EC20,2,2,1202018.0,-0.035190973868818115,1364.1384582243932
20-4-2,EC20-R2-T3,EC20-R2,EC20,2,3,1386643.0,0.015521994656948654,1126.3441176470587
20-1-3,EC20-R3-T0,EC20-R3,EC20,3,0,1345720.0,-0.0005621593846104425,
20-2-3,EC20-R3-T1,EC20-R3,EC20,3,1,1316096.0,0.06831367663161833,2056.708823529412
20-3-3,EC20-R3-T2,EC20-R3,EC20,3,2,1178662.0,-0.14106334360905157,1633.4280347579963
20-4-3,EC20-R3-T3,EC20-R3,EC20,3,3,1599878.0,0.06815664790630299,1741.8764705882354
18-1-1,EC18-R1-T0,EC18-R1,EC18,1,0,289364.0,-0.0024947781267079263,
18-2-1,EC18-R1-T1,EC18-R1,EC18,1,1,104195.0,-0.031999781138410115,69.1005291005291
18-3-1,EC18-R1-T2,EC18-R1,EC18,1,2,2365974.0,0.061755976941624276,961.089812257638
18-4-1,EC18-R1-T3,EC18-R1,EC18,1,3,5334168.0,-0.031994132355718526,1297.037037037037
18-1-2,EC18-R2-T0,EC18-R2,EC18,2,0,288742.0,0.001073821042774592,
18-2-2,EC18-R2-T1,EC18-R2,EC18,2,1,265563.0,0.005322571183355931,197.30674846625766
18-3-2,EC18-R2-T2,EC18-R2,EC18,2,2,672289.0,-0.011263700929178399,297.8009189461907
18-4-2,EC18-R2-T3,EC18-R2,EC18,2,3,6473793.0,0.005230329474740668,1659.0981595092026
18-1-3,EC18-R3-T0,EC18-R3,EC18,3,0,197126.0,0.0007892950876091976,
18-2-3,EC18-R3-T1,EC18-R3,EC18,3,1,1361173.0,0.03056645871096409,912.0669144981413
18-3-3,EC18-R3-T2,EC18-R3,EC18,3,2,2640350.0,-0.06446134678868244,1061.1967251964422
18-4-3,EC18-R3-T3,EC18-R3,EC18,3,3,3884866.0,0.030292397769900867,824.9665427509294
13-0,EC13-R1-T0,EC13-R1,EC13,1,0,21149.0,-0.003482940045231943,
13-1-1,EC13-R1-T1,EC13-R1,EC13,1,1,1138999.0,-0.02038633802277331,1064.1460674157304
13-2-1,EC13-R1-T2,EC13-R1,EC13,1,2,2399880.0,0.026704388437167787,1324.9641618590958
13-3-1,EC13-R1-T3,EC13-R1,EC13,1,3,3950750.0,-0.012604655492878673,968.310339672221
13-4-1,EC13-R1-T4,EC13-R1,EC13,1,4,1473942.0,-0.005437503123870234,163.77153558052436
13-0,EC13-R2-T0,EC13-R2,EC13,2,0,21149.0,0.0004785695523276425,
13-1-2,EC13-R2-T1,EC13-R2,EC13,2,1,1310835.0,-0.04018462861892895,1201.236
13-2-2,EC13-R2-T2,EC13-R2,EC13,2,2,1712743.0,-0.012942696777859404,949.283470556806
13-3-2,EC13-R2-T3,EC13-R2,EC13,2,3,3287883.0,0.001310854749135413,769.3031902071104
13-4-2,EC13-R2-T4,EC13-R2,EC13,2,4,1655167.0,0.011344910725346892,177.632
13-0,EC13-R3-T0,EC13-R3,EC13,3,0,21149.0,1.3278378363288855e-05,
13-1-3,EC13-R3-T1,EC13-R3,EC13,3,1,1122575.0,0.04035250033991466,1227.958549222798
13-2-3,EC13-R3-T2,EC13-R3,EC13,3,2,366483.0,-0.09885093208673654,241.33221135512036
13-3-3,EC13-R3-T3,EC13-R3,EC13,3,3,2938992.0,0.06745020170850181,891.4604075148976
13-4-3,EC13-R3-T4,EC13-R3,EC13,3,4,1016186.0,-0.015178058194588336,160.41450777202073
E0,Baffled-R1-T0,Baffled-R1,Baffled,1,0,2340563.0,0.001224720591660596,
E1,Baffled-R1-T1,Baffled-R1,Baffled,1,1,6229520.0,-0.027535422200434107,7603.939726027397
E2,Baffled-R1-T2,Baffled-R1,Baffled,1,2,2166425.0,-0.006522285119939248,1823.4430669058472
E3,Baffled-R1-T3,Baffled-R1,Baffled,1,3,928842.0,0.06527864432007449,525.8990809485448
E4,Baffled-R1-T4,Baffled-R1,Baffled,1,4,7440597.0,-0.05041643778922515,2466.4438356164383
F0,Baffled-R2-T0,Baffled-R2,Baffled,2,0,1569410.0,-1.0343535515196685e-05,
F1,Baffled-R2-T1,Baffled-R2,Baffled,2,1,5377148.0,-0.03718895711086256,6182.114130434783
F2,Baffled-R2-T2,Baffled-R2,Baffled,2,2,4003224.0,-0.023366313734022155,3246.446309439431
F3,Baffled-R2-T3,Baffled-R2,Baffled,2,3,9610137.0,0.0050152445076247654,4995.502741115857
F4,Baffled-R2-T4,Baffled-R2,Baffled,2,4,9000954.0,-0.04389123275063706,2669.6684782608695
I0,1.8%Gluc-R1-T0,1.8%Gluc-R1,1.8%Gluc,1,0,3494929.0,-0.00310638150813264,
I1,1.8%Gluc-R1-T1,1.8%Gluc-R1,1.8%Gluc,1,1,3944246.0,-0.08434384630853083,5028.840659340659
I2,1.8%Gluc-R1-T2,1.8%Gluc-R1,1.8%Gluc,1,2,2010910.0,0.002267061037052664,2017.4091557775853
I3,1.8%Gluc-R1-T3,1.8%Gluc-R1,1.8%Gluc,1,3,336244.0,0.21342204709442247,254.38210265582595
I4,1.8%Gluc-R1-T4,1.8%Gluc-R1,1.8%Gluc,1,4,681736.0,-0.15198562447314254,362.22802197802196
J0,1.8%Gluc-R2-T0,1.8%Gluc-R2,1.8%Gluc,2,0,862618.0,-0.0029604172723369424,
J1,1.8%Gluc-R2-T1,1.8%Gluc-R2,1.8%Gluc,2,1,3090634.0,-0.07174194407457701,3737.9972222222223
J2,1.8%Gluc-R2-T2,1.8%Gluc-R2,1.8%Gluc,2,2,2188349.0,0.028353417680123102,2055.8946002654757
J3,1.8%Gluc-R2-T3,1.8%Gluc-R2,1.8%Gluc,2,3,384946.0,0.1287945102613166,277.6913012583157
J4,1.8%Gluc-R2-T4,1.8%Gluc-R2,1.8%Gluc,2,4,620947.0,-0.10218232854845201,286.74444444444447
1.6%-T0,1.6%Gluc-R1-T0,1.6%Gluc-R1,1.6%Gluc,1,0,49202.0,-0.0034896230442774136,
1.6%-R1-T1,1.6%Gluc-R1-T1,1.6%Gluc-R1,1.6%Gluc,1,1,144748.0,-0.0008077809922336501,299.5970149253731
1.6%-R1-T2,1.6%Gluc-R1-T2,1.6%Gluc-R1,1.6%Gluc,1,2,186883.0,-0.02415862908706986,312.792822284387
1.6%-R1-T3,1.6%Gluc-R1-T3,1.6%Gluc-R1,1.6%Gluc,1,3,239999.0,0.048350497696043465,312.10805515840576
1.6%-R1-T4,1.6%Gluc-R1-T4,1.6%Gluc-R1,1.6%Gluc,1,4,677668.0,-0.024977018512840794,590.3283582089553
1.6%-T0,1.6%Gluc-R2-T0,1.6%Gluc-R2,1.6%Gluc,2,0,49202.0,-0.00023546177296520618,
1.6%-R2-T1,1.6%Gluc-R2-T1,1.6%Gluc-R2,1.6%Gluc,2,1,101689.0,-0.008611960523611774,212.70454545454547
1.6%-R2-T2,1.6%Gluc-R2-T2,1.6%Gluc-R2,1.6%Gluc,2,2,254212.0,-0.017341874092120513,463.2648531358324
1.6%-R2-T3,1.6%Gluc-R2-T3,1.6%Gluc-R2,1.6%Gluc,2,3,250512.0,0.05751638387930716,362.14354218154443
1.6%-R2-T4,1.6%Gluc-R2-T4,1.6%Gluc-R2,1.6%Gluc,2,4,318062.0,-0.03369185485336419,337.4318181818182
GG0,1.5%Suc1%Raf-R1-T0,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,0,2759565.0,-0.0010752751102343946,
GG1,1.5%Suc1%Raf-R1-T1,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,1,1570471.0,-0.07572504208337155,1665.7142857142858
GG2,1.5%Suc1%Raf-R1-T2,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,2,383177.0,0.12860206114748607,354.83356626227425
GG3,1.5%Suc1%Raf-R1-T3,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,3,313867.0,-0.0334722611648512,265.92379470016425
GG4,1.5%Suc1%Raf-R1-T4,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,4,480985.0,-0.022194871313575653,454.4025974025974
G0,1.4%Gluc-R1-T0,1.4%Gluc-R1,1.4%Gluc,1,0,674820.0,0.0010153531403192776,
G1,1.4%Gluc-R1-T1,1.4%Gluc-R1,1.4%Gluc,1,1,4194734.0,-0.05946137011600663,4317.116022099448
G2,1.4%Gluc-R1-T2,1.4%Gluc-R1,1.4%Gluc,1,2,2309670.0,-0.07971259618393216,1547.2827422555813
G3,1.4%Gluc-R1-T3,1.4%Gluc-R1,1.4%Gluc,1,3,425111.0,0.3195915954482036,188.35064244084228
G4,1.4%Gluc-R1-T4,1.4%Gluc-R1,1.4%Gluc,1,4,1463723.0,-0.18989708971983524,404.414364640884
H0,1.4%Gluc-R2-T0,1.4%Gluc-R2,1.4%Gluc,2,0,717207.0,-0.0014655907844171193,
H1,1.4%Gluc-R2-T1,1.4%Gluc-R2,1.4%Gluc,2,1,3729423.0,-0.032349689069529744,3538.2944444444443
H2,1.4%Gluc-R2-T2,1.4%Gluc-R2,1.4%Gluc,2,2,2039149.0,-0.06104703844136911,1308.1485218236464
H3,1.4%Gluc-R2-T3,1.4%Gluc-R2,1.4%Gluc,2,3,275327.0,0.20711053132247637,114.85109837247396
H4,1.4%Gluc-R2-T4,1.4%Gluc-R2,1.4%Gluc,2,4,757201.0,-0.1201584918516762,185.1861111111111
P0,0.5MKCl-R1-T0,0.5MKCl-R1,0.5MKCl,1,0,4207398.0,-0.0008186908731815304,
P1,0.5MKCl-R1-T1,0.5MKCl-R1,0.5MKCl,1,1,4060418.0,-0.06691451758909965,7446.9807692307695
P2,0.5MKCl-R1-T2,0.5MKCl-R1,0.5MKCl,1,2,2173275.0,-0.04423431167839375,3893.711580135866
P3,0.5MKCl-R1-T3,0.5MKCl-R1,0.5MKCl,1,3,355146.0,0.20720776827614792,600.7515666768347
P4,0.5MKCl-R1-T4,0.5MKCl-R1,0.5MKCl,1,4,565008.0,-0.1484240145488742,862.8461538461538
AA0,0.5%Raf-R1-T0,0.5%Raf-R1,0.5%Raf,1,0,3646680.0,0.0005580654360070847,
AA1,0.5%Raf-R1-T1,0.5%Raf-R1,0.5%Raf,1,1,2502245.0,0.006595069672039471,2174.372549019608
AA2,0.5%Raf-R1-T2,0.5%Raf-R1,0.5%Raf,1,2,5251704.0,-0.11033406557868225,2985.6748759972625
AA3,0.5%Raf-R1-T3,0.5%Raf-R1,0.5%Raf,1,3,424928.0,0.1491899173583801,160.29870512068925
AA4,0.5%Raf-R1-T4,0.5%Raf-R1,0.5%Raf,1,4,719696.0,-0.0737814349184813,186.80392156862746
BB0,0.5%Raf-R2-T0,0.5%Raf-R2,0.5%Raf,2,0,3653383.0,0.0012506932908785138,
BB1,0.5%Raf-R2-T1,0.5%Raf-R2,0.5%Raf,2,1,2911053.0,-0.005737830028423798,2603.124645892351
BB2,0.5%Raf-R2-T2,0.5%Raf-R2,0.5%Raf,2,2,2661220.0,-0.055397757161012806,1443.905859346757
BB3,0.5%Raf-R2-T3,0.5%Raf-R2,0.5%Raf,2,3,406893.0,0.1148507805622064,146.70526829948258
BB4,0.5%Raf-R2-T4,0.5%Raf-R2,0.5%Raf,2,4,551741.0,-0.06141275349478445,142.96600566572238
O0,0.2MKCl-R1-T0,0.2MKCl-R1,0.2MKCl,1,0,4797684.0,0.0010949050580245992,
O1,0.2MKCl-R1-T1,0.2MKCl-R1,0.2MKCl,1,1,2930331.0,-0.06090422817705156,4282.053370786517
O2,0.2MKCl-R1-T2,0.2MKCl-R1,0.2MKCl,1,2,2883775.0,-0.029319212637382554,4152.352482569162
O3,0.2MKCl-R1-T3,0.2MKCl-R1,0.2MKCl,1,3,296368.0,0.14492195946028394,405.99639126832045
O4,0.2MKCl-R1-T4,0.2MKCl-R1,0.2MKCl,1,4,720167.0,-0.11113149555384816,956.3286516853933
