kinsler_sample_label,sample,assay,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
21-1-3,EC21-R3-T1,EC21-R3,EC21,3,1,1338544.0,0.02930550660696098,1811.1088235294117
21-2-3,EC21-R3-T2,EC21-R3,EC21,3,2,1410590.0,-0.03431332240679404,1552.8563351029802
21-3-3,EC21-R3-T3,EC21-R3,EC21,3,3,1875712.0,-0.03083322555561853,1648.4381632308045
21-4-3,EC21-R3-T4,EC21-R3,EC21,3,4,1647879.0,0.02857494600220272,1031.9823529411765
20-1-1,EC20-R1-T0,EC20-R1,EC20,1,0,398922.0,-0.0008987497157523271,
20-2-1,EC20-R1-T1,EC20-R1,EC20,1,1,1652478.0,0.052836958702980275,2420.491176470588
20-3-1,EC20-R1-T2,EC20-R1,EC20,1,2,1363545.0,-0.10771650463885997,1495.9718426122638
20-4-1,EC20-R1-T3,EC20-R1,EC20,1,3,866836.0,0.052029510498019835,617.385294117647
20-1-2,EC20-R2-T0,EC20-R2,EC20,2,0,1296857.0,0.0006919560148516331,
20-2-2,EC20-R2-T1,EC20-R2,EC20,2,1,1670307.0,0.023280361355307623,2413.958823529412
20-3-2,EC20-R2-T2,EC20-R2,EC20,2,2,1202018.0,-0.04788488794221886,1363.5886984884123
20-4-2,EC20-R2-T3,EC20-R2,EC20,2,3,1386643.0,0.02340040579743753,1126.3441176470587
20-1-3,EC20-R3-T0,EC20-R3,EC20,3,0,1345720.0,-0.0005654893406328634,
20-2-3,EC20-R3-T1,EC20-R3,EC20,3,1,1316096.0,0.06478330512772974,2056.708823529412
20-3-3,EC20-R3-T2,EC20-R3,EC20,3,2,1178662.0,-0.1308784312757327,1633.5749287465858
20-4-3,EC20-R3-T3,EC20-R3,EC20,3,3,1599878.0,0.06461365258967479,1741.8764705882354
18-1-1,EC18-R1-T0,EC18-R1,EC18,1,0,289364.0,-0.002509555966721025,
18-2-1,EC18-R1-T1,EC18-R1,EC18,1,1,104195.0,-0.02350778267996404,69.1005291005291
18-3-1,EC18-R1-T2,EC18-R1,EC18,1,2,2365974.0,0.04645821749526703,963.2724493287274
18-4-1,EC18-R1-T3,EC18-R1,EC18,1,3,5334168.0,-0.023587453756955524,1297.037037037037
18-1-2,EC18-R2-T0,EC18-R2,EC18,2,0,288742.0,0.0010801818310959815,
18-2-2,EC18-R2-T1,EC18-R2,EC18,2,1,265563.0,0.013489328397392851,197.30674846625766
18-3-2,EC18-R2-T2,EC18-R2,EC18,2,2,672289.0,-0.027259218517243326,297.5554556513646
18-4-2,EC18-R2-T3,EC18-R2,EC18,2,3,6473793.0,0.013400371088210664,1659.0981595092026
18-1-3,EC18-R3-T0,EC18-R3,EC18,3,0,197126.0,0.0007939704839512383,
18-2-3,EC18-R3-T1,EC18-R3,EC18,3,1,1361173.0,0.029915904447656988,912.0669144981413
18-3-3,EC18-R3-T2,EC18-R3,EC18,3,2,2640350.0,-0.06143673953333049,1060.1199661395528
18-4-3,EC18-R3-T3,EC18-R3,EC18,3,3,3884866.0,0.029657053687753825,824.9665427509294
13-0,EC13-R1-T0,EC13-R1,EC13,1,0,21149.0,-0.003503571270996124,
13-1-1,EC13-R1-T1,EC13-R1,EC13,1,1,1138999.0,-0.010154184353051016,1064.1460674157304
13-2-1,EC13-R1-T2,EC13-R1,EC13,1,2,2399880.0,0.021659959690129356,1325.356581420035
13-3-1,EC13-R1-T3,EC13-R1,EC13,1,3,3950750.0,-0.02110785048302451,968.1913022462865
13-4-1,EC13-R1-T4,EC13-R1,EC13,1,4,1473942.0,0.004554004107602821,163.77153558052436
13-0,EC13-R2-T0,EC13-R2,EC13,2,0,21149.0,0.0004814043632487926,
13-1-2,EC13-R2-T1,EC13-R2,EC13,2,1,1310835.0,0.0032471200870618114,1201.236
13-2-2,EC13-R2-T2,EC13-R2,EC13,2,2,1712743.0,-0.003415795947785322,949.2531181896135
13-3-2,EC13-R2-T3,EC13-R2,EC13,2,3,3287883.0,-0.008750578027760846,769.3018469498244
13-4-2,EC13-R2-T4,EC13-R2,EC13,2,4,1655167.0,0.006225065645313119,177.632
13-0,EC13-R3-T0,EC13-R3,EC13,3,0,21149.0,1.3357032953444736e-05,
13-1-3,EC13-R3-T1,EC13-R3,EC13,3,1,1122575.0,0.05789619048214258,1227.958549222798
13-2-3,EC13-R3-T2,EC13-R3,EC13,3,2,366483.0,-0.14099317386944213,240.2160215335345
13-3-3,EC13-R3-T3,EC13-R3,EC13,3,3,2938992.0,0.10475293501375377,892.7095942770477
13-4-3,EC13-R3-T4,EC13-R3,EC13,3,4,1016186.0,-0.023937590578467297,160.41450777202073
E0,Baffled-R1-T0,Baffled-R1,Baffled,1,0,2340563.0,0.0012319752347771727,
E1,Baffled-R1-T1,Baffled-R1,Baffled,1,1,6229520.0,-0.021059413313301755,7603.939726027397
E2,Baffled-R1-T2,Baffled-R1,Baffled,1,2,2166425.0,-0.007509045694197558,1822.1437089423498
E3,Baffled-R1-T3,Baffled-R1,Baffled,1,3,928842.0,0.06775107914143434,524.7432214429112
E4,Baffled-R1-T4,Baffled-R1,Baffled,1,4,7440597.0,-0.04555142516225866,2466.4438356164383
F0,Baffled-R2-T0,Baffled-R2,Baffled,2,0,1569410.0,-1.0404805538120561e-05,
F1,Baffled-R2-T1,Baffled-R2,Baffled,2,1,5377148.0,-0.02032297949017167,6182.114130434783
F2,Baffled-R2-T2,Baffled-R2,Baffled,2,2,4003224.0,-0.01612456671695682,3244.349907279132
F3,Baffled-R2-T3,Baffled-R2,Baffled,2,3,9610137.0,0.0238441385702654,4994.336526661442
F4,Baffled-R2-T4,Baffled-R2,Baffled,2,4,9000954.0,-0.03252075641461144,2669.6684782608695
I0,1.8%Gluc-R1-T0,1.8%Gluc-R1,1.8%Gluc,1,0,3494929.0,-0.0031247821861149377,
I1,1.8%Gluc-R1-T1,1.8%Gluc-R1,1.8%Gluc,1,1,3944246.0,-0.07685663405394098,5028.840659340659
I2,1.8%Gluc-R1-T2,1.8%Gluc-R1,1.8%Gluc,1,2,2010910.0,-0.0012206260059288785,2013.0773884932348
I3,1.8%Gluc-R1-T3,1.8%Gluc-R1,1.8%Gluc,1,3,336244.0,0.2182713676970714,253.3253772233792
I4,1.8%Gluc-R1-T4,1.8%Gluc-R1,1.8%Gluc,1,4,681736.0,-0.14897230243562576,362.22802197802196
J0,1.8%Gluc-R2-T0,1.8%Gluc-R2,1.8%Gluc,2,0,862618.0,-0.0029779533298942285,
J1,1.8%Gluc-R2-T1,1.8%Gluc-R2,1.8%Gluc,2,1,3090634.0,-0.06003646404904102,3737.9972222222223
J2,1.8%Gluc-R2-T2,1.8%Gluc-R2,1.8%Gluc,2,2,2188349.0,0.02529921445775372,2051.534450815799
J3,1.8%Gluc-R2-T3,1.8%Gluc-R2,1.8%Gluc,2,3,384946.0,0.11389599069724653,276.836561449824
J4,1.8%Gluc-R2-T4,1.8%Gluc-R2,1.8%Gluc,2,4,620947.0,-0.08851409078806137,286.74444444444447
1.6%-T0,1.6%Gluc-R1-T0,1.6%Gluc-R1,1.6%Gluc,1,0,49202.0,-0.0035102938568447833,
1.6%-R1-T1,1.6%Gluc-R1-T1,1.6%Gluc-R1,1.6%Gluc,1,1,144748.0,0.0012378611693828641,299.5970149253731
1.6%-R1-T2,1.6%Gluc-R1-T2,1.6%Gluc-R1,1.6%Gluc,1,2,186883.0,-0.02984117283901031,312.87600426959864
1.6%-R1-T3,1.6%Gluc-R1-T3,1.6%Gluc-R1,1.6%Gluc,1,3,239999.0,0.05502077689304993,311.9666742214902
1.6%-R1-T4,1.6%Gluc-R1-T4,1.6%Gluc-R1,1.6%Gluc,1,4,677668.0,-0.02700808806940234,590.3283582089553
1.6%-T0,1.6%Gluc-R2-T0,1.6%Gluc-R2,1.6%Gluc,2,0,49202.0,-0.00023685653283295923,
1.6%-R2-T1,1.6%Gluc-R2-T1,1.6%Gluc-R2,1.6%Gluc,2,1,101689.0,-0.00798784158412643,212.70454545454547
1.6%-R2-T2,1.6%Gluc-R2-T2,1.6%Gluc-R2,1.6%Gluc,2,2,254212.0,-0.012960224572034117,463.27528068965927
1.6%-R2-T3,1.6%Gluc-R2-T3,1.6%Gluc-R2,1.6%Gluc,2,3,250512.0,0.049201808309140956,361.23723534588447
1.6%-R2-T4,1.6%Gluc-R2-T4,1.6%Gluc-R2,1.6%Gluc,2,4,318062.0,-0.028765697353221393,337.4318181818182
GG0,1.5%Suc1%Raf-R1-T0,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,0,2759565.0,-0.0010816445117370762,
GG1,1.5%Suc1%Raf-R1-T1,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,1,1570471.0,-0.08155938205687346,1665.7142857142858
GG2,1.5%Suc1%Raf-R1-T2,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,2,383177.0,0.13316881157058633,355.1337360402779
GG3,1.5%Suc1%Raf-R1-T3,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,3,313867.0,-0.023825749768226264,265.74924764077883
GG4,1.5%Suc1%Raf-R1-T4,1.5%Suc1%Raf-R1,1.5%Suc1%Raf,1,4,480985.0,-0.029776600043777524,454.4025974025974
G0,1.4%Gluc-R1-T0,1.4%Gluc-R1,1.4%Gluc,1,0,674820.0,0.0010213675935100452,
G1,1.4%Gluc-R1-T1,1.4%Gluc-R1,1.4%Gluc,1,1,4194734.0,-0.0547686741851473,4317.116022099448
G2,1.4%Gluc-R1-T2,1.4%Gluc-R1,1.4%Gluc,1,2,2309670.0,-0.09182125082876819,1545.6465692494237
G3,1.4%Gluc-R1-T3,1.4%Gluc-R1,1.4%Gluc,1,3,425111.0,0.3399119582525315,187.64281326996053
G4,1.4%Gluc-R1-T4,1.4%Gluc-R1,1.4%Gluc,1,4,1463723.0,-0.1971072265941026,404.414364640884
H0,1.4%Gluc-R2-T0,1.4%Gluc-R2,1.4%Gluc,2,0,717207.0,-0.0014742722242232986,
H1,1.4%Gluc-R2-T1,1.4%Gluc-R2,1.4%Gluc,2,1,3729423.0,-0.030230584298723967,3538.2944444444443
H2,1.4%Gluc-R2-T2,1.4%Gluc-R2,1.4%Gluc,2,2,2039149.0,-0.06849890974544645,1307.4237678941522
H3,1.4%Gluc-R2-T3,1.4%Gluc-R2,1.4%Gluc,2,3,275327.0,0.22454727590057666,114.43343003267273
H4,1.4%Gluc-R2-T4,1.4%Gluc-R2,1.4%Gluc,2,4,757201.0,-0.12752567658376623,185.1861111111111
P0,0.5MKCl-R1-T0,0.5MKCl-R1,0.5MKCl,1,0,4207398.0,-0.0008235403957160356,
P1,0.5MKCl-R1-T1,0.5MKCl-R1,0.5MKCl,1,1,4060418.0,-0.03428369372880458,7446.9807692307695
P2,0.5MKCl-R1-T2,0.5MKCl-R1,0.5MKCl,1,2,2173275.0,-0.04605993551511588,3882.3654767434987
P3,0.5MKCl-R1-T3,0.5MKCl-R1,0.5MKCl,1,3,355146.0,0.1661755837081077,599.1417307297938
P4,0.5MKCl-R1-T4,0.5MKCl-R1,0.5MKCl,1,4,565008.0,-0.10585347176622678,862.8461538461538
AA0,0.5%Raf-R1-T0,0.5%Raf-R1,0.5%Raf,1,0,3646680.0,0.0005613711414892132,
AA1,0.5%Raf-R1-T1,0.5%Raf-R1,0.5%Raf,1,1,2502245.0,0.014045622025594185,2174.372549019608
AA2,0.5%Raf-R1-T2,0.5%Raf-R1,0.5%Raf,1,2,5251704.0,-0.1102711075463077,2984.9368401622137
AA3,0.5%Raf-R1-T3,0.5%Raf-R1,0.5%Raf,1,3,424928.0,0.1568571747810311,160.3471018681291
AA4,0.5%Raf-R1-T4,0.5%Raf-R1,0.5%Raf,1,4,719696.0,-0.07334103263631597,186.80392156862746
BB0,0.5%Raf-R2-T0,0.5%Raf-R2,0.5%Raf,2,0,3653383.0,0.0012581017835056507,
BB1,0.5%Raf-R2-T1,0.5%Raf-R2,0.5%Raf,2,1,2911053.0,0.00011517897827331204,2603.124645892351
BB2,0.5%Raf-R2-T2,0.5%Raf-R2,0.5%Raf,2,2,2661220.0,-0.06565390389411871,1443.3248354500838
BB3,0.5%Raf-R2-T3,0.5%Raf-R2,0.5%Raf,2,3,406893.0,0.12772118631131527,146.58243797445584
BB4,0.5%Raf-R2-T4,0.5%Raf-R2,0.5%Raf,2,4,551741.0,-0.06477062574543735,142.96600566572238
O0,0.2MKCl-R1-T0,0.2MKCl-R1,0.2MKCl,1,0,4797684.0,0.0011013907376943865,
O1,0.2MKCl-R1-T1,0.2MKCl-R1,0.2MKCl,1,1,2930331.0,-0.040027747888477065,4282.053370786517
O2,0.2MKCl-R1-T2,0.2MKCl-R1,0.2MKCl,1,2,2883775.0,-0.03757251608338476,4140.292887611455
O3,0.2MKCl-R1-T3,0.2MKCl-R1,0.2MKCl,1,3,296368.0,0.15109079351154683,404.6674205668345
O4,0.2MKCl-R1-T4,0.2MKCl-R1,0.2MKCl,1,4,720167.0,-0.09655179656498136,956.3286516853933
