chen_sample_label,sample,assay,assay_set,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
hBFA1-21C-R1-Time8,hBFA1:21C-R1-8,hBFA1:21C-R1,hBFA1,21C,R1,8,1917150,-0.0015332308987953697,688.5991799077397
hBFA1-21C-R1-Time16,hBFA1:21C-R1-16,hBFA1:21C-R1,hBFA1,21C,R1,16,2168035,0.004945274789862954,792.2108036436978
hBFA1-21C-R1-Time24,hBFA1:21C-R1-24,hBFA1:21C-R1,hBFA1,21C,R1,24,2068099,-0.006070835090111117,733.6234392826693
hBFA1-21C-R1-Time40,hBFA1:21C-R1-40,hBFA1:21C-R1,hBFA1,21C,R1,40,2118452,0.0022080320963974625,607.3946694003075
hBFA1-21C-R2-Time8,hBFA1:21C-R2-8,hBFA1:21C-R2,hBFA1,21C,R2,8,2111700,-0.0014610831621022495,742.2044887780548
hBFA1-21C-R2-Time16,hBFA1:21C-R2-16,hBFA1:21C-R2,hBFA1,21C,R2,16,2150472,0.001266818921011307,772.3635839512767
hBFA1-21C-R2-Time24,hBFA1:21C-R2-24,hBFA1:21C-R2,hBFA1,21C,R2,24,2022493,0.0013070780541481663,709.1179074764361
hBFA1-21C-R2-Time40,hBFA1:21C-R2-40,hBFA1:21C-R2,hBFA1,21C,R2,40,2465801,-0.0037060499282789354,670.5441396508728
hBFA1-37C-R1-Time8,hBFA1:37C-R1-8,hBFA1:37C-R1,hBFA1,37C,R1,8,1816186,-0.009815283270021766,631.2783505154639
hBFA1-37C-R1-Time16,hBFA1:37C-R1-16,hBFA1:37C-R1,hBFA1,37C,R1,16,1992657,0.01836630446328946,740.699349889478
hBFA1-37C-R1-Time24,hBFA1:37C-R1-24,hBFA1:37C-R1,hBFA1,37C,R1,24,2071290,-0.006110370648899297,746.3064559956254
hBFA1-37C-R1-Time40,hBFA1:37C-R1-40,hBFA1:37C-R1,hBFA1,37C,R1,40,2032937,-0.002262688143744306,579.5474226804124
hBFA1-37C-R2-Time8,hBFA1:37C-R2-8,hBFA1:37C-R2,hBFA1,37C,R2,8,2408886,-0.01262833031860888,840.7478216299334
hBFA1-37C-R2-Time16,hBFA1:37C-R2-16,hBFA1:37C-R2,hBFA1,37C,R2,16,2371746,-0.005481968351388858,867.5205335579136
hBFA1-37C-R2-Time24,hBFA1:37C-R2-24,hBFA1:37C-R2,hBFA1,37C,R2,24,1886703,0.05140131115040066,661.5828816141125
hBFA1-37C-R2-Time40,hBFA1:37C-R2-40,hBFA1:37C-R2,hBFA1,37C,R2,40,2169673,-0.03263984279834523,611.2901076371091
hBFA1-48Hr-R1-Time8,hBFA1:48Hr-R1-8,hBFA1:48Hr-R1,hBFA1,48Hr,R1,8,1374578,0.002065990913514541,477.1888256595965
hBFA1-48Hr-R1-Time16,hBFA1:48Hr-R1-16,hBFA1:48Hr-R1,hBFA1,48Hr,R1,16,2073939,-0.0005284140030577796,724.4278140575328
hBFA1-48Hr-R1-Time24,hBFA1:48Hr-R1-24,hBFA1:48Hr-R1,hBFA1,48Hr,R1,24,1913013,-0.002368571022893508,624.633053624468
hBFA1-48Hr-R1-Time40,hBFA1:48Hr-R1-40,hBFA1:48Hr-R1,hBFA1,48Hr,R1,40,2727518,0.0035961314741311612,747.0858768753234
hBFA1-48Hr-R2-Time8,hBFA1:48Hr-R2-8,hBFA1:48Hr-R2,hBFA1,48Hr,R2,8,2527232,-0.021713319873851368,903.0810531750129
hBFA1-48Hr-R2-Time16,hBFA1:48Hr-R2-16,hBFA1:48Hr-R2,hBFA1,48Hr,R2,16,2122894,0.0427154669474875,729.6207171114115
hBFA1-48Hr-R2-Time24,hBFA1:48Hr-R2-24,hBFA1:48Hr-R2,hBFA1,48Hr,R2,24,2181970,-0.02226212265383239,728.2890508382746
hBFA1-48Hr-R2-Time40,hBFA1:48Hr-R2-40,hBFA1:48Hr-R2,hBFA1,48Hr,R2,40,2019366,-0.00019665614069307652,560.1032524522458
