chen_sample_label,sample,assay,assay_set,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
hBFA1-SC-R1-Time8,hBFA1:SC-R1-8,hBFA1:SC-R1,hBFA1,SC,R1,8,1575308,-6.234804521702985e-05,599.010455104551
hBFA1-SC-R1-Time16,hBFA1:SC-R1-16,hBFA1:SC-R1,hBFA1,SC,R1,16,1552685,-5.962215664446799e-05,603.7915129221544
hBFA1-SC-R1-Time24,hBFA1:SC-R1-24,hBFA1:SC-R1,hBFA1,SC,R1,24,1584986,-5.7597664729629506e-05,599.2687576949243
hBFA1-SC-R1-Time40,hBFA1:SC-R1-40,hBFA1:SC-R1,hBFA1,SC,R1,40,1558740,-5.6257611657866365e-05,504.81242312423126
hBFA1-SC-R2-Time8,hBFA1:SC-R2-8,hBFA1:SC-R2,hBFA1,SC,R2,8,1883034,-0.21784911006461788,688.8059299191375
hBFA1-SC-R2-Time16,hBFA1:SC-R2-16,hBFA1:SC-R2,hBFA1,SC,R2,16,1737092,-0.21086293016416818,659.8861019870078
hBFA1-SC-R2-Time24,hBFA1:SC-R2-24,hBFA1:SC-R2,hBFA1,SC,R2,24,1867711,-0.20387933266440156,644.7720886269095
hBFA1-SC-R2-Time40,hBFA1:SC-R2-40,hBFA1:SC-R2,hBFA1,SC,R2,40,1759607,-0.19689183656415374,547.7266846361186
hBFA1-YPD-R1-Time8,hBFA1:YPD-R1-8,hBFA1:YPD-R1,hBFA1,YPD,R1,8,1328214,-0.0030755297548668197,445.36561743341406
hBFA1-YPD-R1-Time16,hBFA1:YPD-R1-16,hBFA1:YPD-R1,hBFA1,YPD,R1,16,1884894,-0.0030288240431785465,611.4041562724891
hBFA1-YPD-R1-Time24,hBFA1:YPD-R1-24,hBFA1:YPD-R1,hBFA1,YPD,R1,24,3388195,-0.0029818176042527905,1020.7453040850304
hBFA1-YPD-R1-Time40,hBFA1:YPD-R1-40,hBFA1:YPD-R1,hBFA1,YPD,R1,40,1850120,-0.002934935192730517,404.84261501210653
hBFA1-YPD-R2-Time8,hBFA1:YPD-R2-8,hBFA1:YPD-R2,hBFA1,YPD,R2,8,1712142,-0.19736572568934943,589.0238821138212
hBFA1-YPD-R2-Time16,hBFA1:YPD-R2-16,hBFA1:YPD-R2,hBFA1,YPD,R2,16,1996011,-0.13002186544588512,664.9874318368703
hBFA1-YPD-R2-Time24,hBFA1:YPD-R2-24,hBFA1:YPD-R2,hBFA1,YPD,R2,24,1847952,-0.06267763696034227,595.6553799678103
hBFA1-YPD-R2-Time40,hBFA1:YPD-R2-40,hBFA1:YPD-R2,hBFA1,YPD,R2,40,2023457,0.004667020124843281,461.7357723577236
hBFA1-pH3_8-R1-Time8,hBFA1:pH3.8-R1-8,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,8,1952835,-0.004453879403896957,693.1662310507057
hBFA1-pH3_8-R1-Time16,hBFA1:pH3.8-R1-16,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,16,2204561,-0.004649579365037858,777.9415553686692
hBFA1-pH3_8-R1-Time24,hBFA1:pH3.8-R1-24,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,24,2539318,-0.004845641482346223,865.3314390064464
hBFA1-pH3_8-R1-Time40,hBFA1:pH3.8-R1-40,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,40,2296210,-0.005041356289387275,651.3125980135912
hBFA1-pH3_8-R2-Time8,hBFA1:pH3.8-R2-8,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,8,1711136,-0.284273872271964,563.5342995169082
hBFA1-pH3_8-R2-Time16,hBFA1:pH3.8-R2-16,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,16,2404233,-0.32642640730275907,1004.1912919999639
hBFA1-pH3_8-R2-Time24,hBFA1:pH3.8-R2-24,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,24,2823044,-0.36859295313029156,985.7026360959181
hBFA1-pH3_8-R2-Time40,hBFA1:pH3.8-R2-40,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,40,3102324,-0.41075739189879173,849.0212560386474
hBFA1-pH7_3-R1-Time8,hBFA1:pH7.3-R1-8,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,8,2499948,-0.00035282602514235276,846.1200578592093
hBFA1-pH7_3-R1-Time16,hBFA1:pH7.3-R1-16,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,16,2244076,-0.0003514650866467913,775.5489674081792
hBFA1-pH7_3-R1-Time24,hBFA1:pH7.3-R1-24,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,24,2563277,-0.0003493696158667629,883.0415156551755
hBFA1-pH7_3-R1-Time40,hBFA1:pH7.3-R1-40,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,40,2719186,-0.00034947149616592244,912.480231436837
hBFA1-pH7_3-R2-Time8,hBFA1:pH7.3-R2-8,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,8,2757245,-0.003963586936254638,917.0566298342542
hBFA1-pH7_3-R2-Time16,hBFA1:pH7.3-R2-16,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,16,2680456,-0.004209158426127816,897.3503981375859
hBFA1-pH7_3-R2-Time24,hBFA1:pH7.3-R2-24,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,24,2585981,-0.004456443798619916,873.1349674638567
hBFA1-pH7_3-R2-Time40,hBFA1:pH7.3-R2-40,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,40,2769573,-0.004701253841683671,897.3517495395948
