chen_sample_label,sample,assay,assay_set,treatment,rep,timept,total_raw_count
dBFA2-37C-R3-Time16,dBFA2:37C-R3-16,dBFA2:37C-R3,dBFA2,37C,R3,16,3029635
dBFA2-37C-R3-Time24,dBFA2:37C-R3-24,dBFA2:37C-R3,dBFA2,37C,R3,24,2379013
dBFA2-37C-R3-Time32,dBFA2:37C-R3-32,dBFA2:37C-R3,dBFA2,37C,R3,32,3211907
dBFA2-37C-R3-Time40,dBFA2:37C-R3-40,dBFA2:37C-R3,dBFA2,37C,R3,40,1933867
dBFA2-GlyEtOH-R1-Time8,dBFA2:GlyEtOH-R1-8,dBFA2:GlyEtOH-R1,dBFA2,GlyEtOH,R1,8,2312841
dBFA2-GlyEtOH-R1-Time16,dBFA2:GlyEtOH-R1-16,dBFA2:GlyEtOH-R1,dBFA2,GlyEtOH,R1,16,2033175
dBFA2-GlyEtOH-R1-Time24,dBFA2:GlyEtOH-R1-24,dBFA2:GlyEtOH-R1,dBFA2,GlyEtOH,R1,24,3016762
dBFA2-GlyEtOH-R1-Time32,dBFA2:GlyEtOH-R1-32,dBFA2:GlyEtOH-R1,dBFA2,GlyEtOH,R1,32,3087398
dBFA2-GlyEtOH-R1-Time40,dBFA2:GlyEtOH-R1-40,dBFA2:GlyEtOH-R1,dBFA2,GlyEtOH,R1,40,2109323
dBFA2-GlyEtOH-R2-Time8,dBFA2:GlyEtOH-R2-8,dBFA2:GlyEtOH-R2,dBFA2,GlyEtOH,R2,8,1095521
dBFA2-GlyEtOH-R2-Time16,dBFA2:GlyEtOH-R2-16,dBFA2:GlyEtOH-R2,dBFA2,GlyEtOH,R2,16,2433009
dBFA2-GlyEtOH-R2-Time24,dBFA2:GlyEtOH-R2-24,dBFA2:GlyEtOH-R2,dBFA2,GlyEtOH,R2,24,2682798
dBFA2-GlyEtOH-R2-Time32,dBFA2:GlyEtOH-R2-32,dBFA2:GlyEtOH-R2,dBFA2,GlyEtOH,R2,32,608868
dBFA2-GlyEtOH-R2-Time40,dBFA2:GlyEtOH-R2-40,dBFA2:GlyEtOH-R2,dBFA2,GlyEtOH,R2,40,1241391
dBFA2-GlyEtOH-R3-Time8,dBFA2:GlyEtOH-R3-8,dBFA2:GlyEtOH-R3,dBFA2,GlyEtOH,R3,8,3256383
dBFA2-GlyEtOH-R3-Time16,dBFA2:GlyEtOH-R3-16,dBFA2:GlyEtOH-R3,dBFA2,GlyEtOH,R3,16,3833348
dBFA2-GlyEtOH-R3-Time24,dBFA2:GlyEtOH-R3-24,dBFA2:GlyEtOH-R3,dBFA2,GlyEtOH,R3,24,2053594
dBFA2-GlyEtOH-R3-Time32,dBFA2:GlyEtOH-R3-32,dBFA2:GlyEtOH-R3,dBFA2,GlyEtOH,R3,32,2591433
dBFA2-GlyEtOH-R3-Time40,dBFA2:GlyEtOH-R3-40,dBFA2:GlyEtOH-R3,dBFA2,GlyEtOH,R3,40,161753
