chen_sample_label,sample,assay,assay_set,treatment,rep,timept,total_raw_count
hBFA1-YPD-R2-Time8,hBFA1:YPD-R2-8,hBFA1:YPD-R2,hBFA1,YPD,R2,8,1712142
hBFA1-YPD-R2-Time16,hBFA1:YPD-R2-16,hBFA1:YPD-R2,hBFA1,YPD,R2,16,1996011
hBFA1-YPD-R2-Time24,hBFA1:YPD-R2-24,hBFA1:YPD-R2,hBFA1,YPD,R2,24,1847952
hBFA1-YPD-R2-Time40,hBFA1:YPD-R2-40,hBFA1:YPD-R2,hBFA1,YPD,R2,40,2023457
hBFA1-pH3_8-R1-Time8,hBFA1:pH3.8-R1-8,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,8,1952835
hBFA1-pH3_8-R1-Time16,hBFA1:pH3.8-R1-16,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,16,2204561
hBFA1-pH3_8-R1-Time24,hBFA1:pH3.8-R1-24,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,24,2539318
hBFA1-pH3_8-R1-Time40,hBFA1:pH3.8-R1-40,hBFA1:pH3.8-R1,hBFA1,pH3.8,R1,40,2296210
hBFA1-pH3_8-R2-Time8,hBFA1:pH3.8-R2-8,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,8,1711136
hBFA1-pH3_8-R2-Time16,hBFA1:pH3.8-R2-16,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,16,2404233
hBFA1-pH3_8-R2-Time24,hBFA1:pH3.8-R2-24,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,24,2823044
hBFA1-pH3_8-R2-Time40,hBFA1:pH3.8-R2-40,hBFA1:pH3.8-R2,hBFA1,pH3.8,R2,40,3102324
hBFA1-pH7_3-R1-Time8,hBFA1:pH7.3-R1-8,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,8,2499948
hBFA1-pH7_3-R1-Time16,hBFA1:pH7.3-R1-16,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,16,2244076
hBFA1-pH7_3-R1-Time24,hBFA1:pH7.3-R1-24,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,24,2563277
hBFA1-pH7_3-R1-Time40,hBFA1:pH7.3-R1-40,hBFA1:pH7.3-R1,hBFA1,pH7.3,R1,40,2719186
hBFA1-pH7_3-R2-Time8,hBFA1:pH7.3-R2-8,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,8,2757245
hBFA1-pH7_3-R2-Time16,hBFA1:pH7.3-R2-16,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,16,2680456
hBFA1-pH7_3-R2-Time24,hBFA1:pH7.3-R2-24,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,24,2585981
hBFA1-pH7_3-R2-Time40,hBFA1:pH7.3-R2-40,hBFA1:pH7.3-R2,hBFA1,pH7.3,R2,40,2769573
