kinsler_sample_label,sample,assay,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
21-1-3,EC21-R3-T1,EC21-R3,EC21,3,1,1338544.0,0.025340704096250603,1811.1088235294117
21-2-3,EC21-R3-T2,EC21-R3,EC21,3,2,1410590.0,-0.047550560578809686,1554.1900930024194
21-3-3,EC21-R3-T3,EC21-R3,EC21,3,3,1875712.0,-0.016721687616055362,1650.0835694439277
21-4-3,EC21-R3-T4,EC21-R3,EC21,3,4,1647879.0,0.03893154409861445,1031.9823529411765
20-1-1,EC20-R1-T0,EC20-R1,EC20,1,0,398922.0,-0.0008798049403674285,
20-2-1,EC20-R1-T1,EC20-R1,EC20,1,1,1652478.0,-0.7151048983382,2420.491176470588
20-3-1,EC20-R1-T2,EC20-R1,EC20,1,2,1363545.0,-0.07490264527753565,1498.3685439182889
20-4-1,EC20-R1-T3,EC20-R1,EC20,1,3,866836.0,0.7900075436157359,617.385294117647
20-1-2,EC20-R2-T0,EC20-R2,EC20,2,0,1296857.0,0.0006773702508198521,
20-2-2,EC20-R2-T1,EC20-R2,EC20,2,1,1670307.0,-0.5028016293998613,2413.958823529412
20-3-2,EC20-R2-T2,EC20-R2,EC20,2,2,1202018.0,-0.03049959688166748,1364.7372568210803
20-4-2,EC20-R2-T3,EC20-R2,EC20,2,3,1386643.0,0.5333012262815289,1126.3441176470587
20-1-3,EC20-R3-T0,EC20-R3,EC20,3,0,1345720.0,-0.0005535693718661681,
20-2-3,EC20-R3-T1,EC20-R3,EC20,3,1,1316096.0,0.39420442876410416,2056.708823529412
20-3-3,EC20-R3-T2,EC20-R3,EC20,3,2,1178662.0,-0.14697844047976005,1636.4262929926792
20-4-3,EC20-R3-T3,EC20-R3,EC20,3,3,1599878.0,-0.24722598828434428,1741.8764705882354
18-1-1,EC18-R1-T0,EC18-R1,EC18,1,0,289364.0,-0.0024566569523768985,
18-2-1,EC18-R1-T1,EC18-R1,EC18,1,1,104195.0,-0.02453006995638325,69.1005291005291
18-3-1,EC18-R1-T2,EC18-R1,EC18,1,2,2365974.0,0.06518184785898952,957.5770442156638
18-4-1,EC18-R1-T3,EC18-R1,EC18,1,3,5334168.0,-0.04065177790260627,1297.037037037037
18-1-2,EC18-R2-T0,EC18-R2,EC18,2,0,288742.0,0.0010574126420700557,
