kinsler_sample_label,sample,assay,treatment,rep,timept,total_raw_count,bias_prevalence,normalization_factor
A0,M3-R1-T0,M3-R1,M3,1,0,3347507.0,0.002665955887178258,
A1,M3-R1-T1,M3-R1,M3,1,1,4885816.0,0.003127773249798459,4852.4223433242505
A2,M3-R1-T2,M3-R1,M3,1,2,8910028.0,-0.07745211423117464,6284.999097957019
A3,M3-R1-T3,M3-R1,M3,1,3,1036411.0,0.03474857013564749,465.00517067784045
A4,M3-R1-T4,M3-R1,M3,1,4,5206525.0,-0.027704090472510958,1482.0
B0,M3-R2-T0,M3-R2,M3,2,0,9830037.0,0.0018115820837381925,
B1,M3-R2-T1,M3-R2,M3,2,1,1989639.0,0.021638590385227603,2071.831978319783
B2,M3-R2-T2,M3-R2,M3,2,2,18659452.0,-0.035149441866180964,13101.288488302862
B3,M3-R2-T3,M3-R2,M3,2,3,20362738.0,-0.10820993094588184,7855.855941790887
B4,M3-R2-T4,M3-R2,M3,2,4,47819795.0,0.05288283730514387,13341.81300813008
C0,M3-R3-T0,M3-R3,M3,3,0,1413632.0,0.0015156579687260502,
C1,M3-R3-T1,M3-R3,M3,3,1,6405822.0,-0.022012426880216124,6320.333333333333
C2,M3-R3-T2,M3-R3,M3,3,2,14613357.0,-0.022134348143566657,11410.473927342911
C3,M3-R3-T3,M3-R3,M3,3,3,2722693.0,-0.0590287226657695,1528.4522390686454
C4,M3-R3-T4,M3-R3,M3,3,4,21449234.0,-0.0025338861300660577,8043.067750677506
D0,M3-R4-T0,M3-R4,M3,4,0,1452457.0,0.0016183862194388472,
D1,M3-R4-T1,M3-R4,M3,4,1,3909839.0,-0.03569268966763021,4511.915300546448
D2,M3-R4-T2,M3-R4,M3,4,2,2877255.0,-0.00596780565865143,2520.7136457689326
D3,M3-R4-T3,M3-R4,M3,4,3,4314103.0,-0.007257957432062652,2528.570741173171
D4,M3-R4-T4,M3-R4,M3,4,4,4964839.0,-0.02080366694425375,2062.5765027322404
3-0,EC3-R1-T0,EC3-R1,EC3,1,0,609514.0,0.0022412974306754417,
3-1-1,EC3-R1-T1,EC3-R1,EC3,1,1,1356341.0,0.0715326837120375,915.418918918919
3-2-1,EC3-R1-T2,EC3-R1,EC3,1,2,2121809.0,-0.10451603842472114,831.1467579859064
3-3-1,EC3-R1-T3,EC3-R1,EC3,1,3,1584438.0,-0.0167452876267175,479.5857862057205
3-4-1,EC3-R1-T4,EC3-R1,EC3,1,4,3203355.0,0.042671080349892185,570.6216216216217
3-0,EC3-R2-T0,EC3-R2,EC3,2,0,609514.0,0.0004644243251337734,
3-1-2,EC3-R2-T1,EC3-R2,EC3,2,1,1938771.0,0.05217114146211321,1125.7368421052631
3-2-2,EC3-R2-T2,EC3-R2,EC3,2,2,2551400.0,-0.03232049692370738,725.8799152220382
3-3-2,EC3-R2-T3,EC3-R2,EC3,2,3,3100700.0,-0.10059334651296668,587.0583682531122
3-4-2,EC3-R2-T4,EC3-R2,EC3,2,4,2832465.0,0.07505143207156813,351.9561403508772
3-0,EC3-R3-T0,EC3-R3,EC3,3,0,609514.0,0.002448753137324424,
3-1-3,EC3-R3-T1,EC3-R3,EC3,3,1,1259539.0,0.058083594465352,846.5454545454545
3-2-3,EC3-R3-T2,EC3-R3,EC3,3,2,2051769.0,-0.12015771808826248,797.0440075072987
3-3-3,EC3-R3-T3,EC3-R3,EC3,3,3,2431569.0,0.05403143226121148,561.4631573002064
3-4-3,EC3-R3-T4,EC3-R3,EC3,3,4,3161827.0,0.00019320360548272608,509.32323232323233
23-0,EC23-R1-T0,EC23-R1,EC23,1,0,1530803.0,0.00010487360699150796,
23-1-1,EC23-R1-T1,EC23-R1,EC23,1,1,1227998.0,-0.1264904009935123,1867.9824046920821
23-2-1,EC23-R1-T2,EC23-R1,EC23,1,2,1664821.0,-0.12525298290800949,1873.5269790419552
23-3-1,EC23-R1-T3,EC23-R1,EC23,1,3,1498190.0,0.579405101581782,1124.3076763091415
23-4-1,EC23-R1-T4,EC23-R1,EC23,1,4,1940380.0,-0.35689098780553014,927.7888563049853
23-0,EC23-R2-T0,EC23-R2,EC23,2,0,1530803.0,0.0002973607820149104,
23-1-2,EC23-R2-T1,EC23-R2,EC23,2,1,1477496.0,-0.022958394116732048,2239.254385964912
23-2-2,EC23-R2-T2,EC23-R2,EC23,2,2,1960979.0,0.021159276628031205,2411.7934772692215
23-3-2,EC23-R2-T3,EC23-R2,EC23,2,3,2166322.0,-0.03948368096844247,1909.0968637003928
23-4-2,EC23-R2-T4,EC23-R2,EC23,2,4,2421463.0,-0.0033611632322268713,1344.169590643275
23-0,EC23-R3-T0,EC23-R3,EC23,3,0,1530803.0,-0.004633169594762014,
23-1-3,EC23-R3-T1,EC23-R3,EC23,3,1,1229373.0,-0.07515676948359397,1912.1788856304986
23-2-3,EC23-R3-T2,EC23-R3,EC23,3,2,1839677.0,0.05799506627406053,2380.475243867863
23-3-3,EC23-R3-T3,EC23-R3,EC23,3,3,1491357.0,0.04584303800093919,1475.3683327704668
23-4-3,EC23-R3-T4,EC23-R3,EC23,3,4,1807631.0,-0.07083819653465595,1324.7888563049853
21-0-1,EC21-R1-T0,EC21-R1,EC21,1,0,1984340.0,0.002031080150799103,
21-1-1,EC21-R1-T1,EC21-R1,EC21,1,1,648164.0,-0.02053770927378633,877.6873065015479
21-2-1,EC21-R1-T2,EC21-R1,EC21,1,2,1538389.0,-0.245863595517548,1635.5763242217604
21-3-1,EC21-R1-T3,EC21-R1,EC21,1,3,1106350.0,0.5237803444886343,789.5315903229437
21-4-1,EC21-R1-T4,EC21-R1,EC21,1,4,1758008.0,-0.27685880718647937,839.3715170278638
21-0-1,EC21-R2-T0,EC21-R2,EC21,2,0,1984340.0,0.0023128010505091864,
21-1-2,EC21-R2-T1,EC21-R2,EC21,2,1,486568.0,-0.1188210069011076,687.8612099644129
21-2-2,EC21-R2-T2,EC21-R2,EC21,2,2,485523.0,0.06854447466970065,537.8484295733409
21-3-2,EC21-R2-T3,EC21-R2,EC21,2,3,1224148.0,0.20934214889859717,988.5367613763253
21-4-2,EC21-R2-T4,EC21-R2,EC21,2,4,1721069.0,-0.16710807058858768,964.1565836298932
21-0-1,EC21-R3-T0,EC21-R3,EC21,3,0,1984340.0,-0.00018753665703773252,
21-1-3,EC21-R3-T1,EC21-R3,EC21,3,1,1338544.0,0.028158839994217123,1811.1088235294117
21-2-3,EC21-R3-T2,EC21-R3,EC21,3,2,1410590.0,-0.05105539719066822,1553.5979642793488
21-3-3,EC21-R3-T3,EC21-R3,EC21,3,3,1875712.0,-0.02863260871389436,1649.644370367396
21-4-3,EC21-R3-T4,EC21-R3,EC21,3,4,1647879.0,0.02111876273207838,1031.9823529411765
20-1-1,EC20-R1-T0,EC20-R1,EC20,1,0,398922.0,-0.0008872025001084346,
20-2-1,EC20-R1-T1,EC20-R1,EC20,1,1,1652478.0,0.03629084112284104,2420.491176470588
20-3-1,EC20-R1-T2,EC20-R1,EC20,1,2,1363545.0,-0.0790879958456329,1497.6264206798123
20-4-1,EC20-R1-T3,EC20-R1,EC20,1,3,866836.0,0.03547236871636007,617.385294117647
20-1-2,EC20-R2-T0,EC20-R2,EC20,2,0,1296857.0,0.0006830657029221413,
20-2-2,EC20-R2-T1,EC20-R2,EC20,2,1,1670307.0,0.01335543284371607,2413.958823529412
20-3-2,EC20-R2-T2,EC20-R2,EC20,2,2,1202018.0,-0.03307512187965278,1364.4427065265447
20-4-2,EC20-R2-T3,EC20-R2,EC20,2,3,1386643.0,0.013394123398288353,1126.3441176470587
20-1-3,EC20-R3-T0,EC20-R3,EC20,3,0,1345720.0,-0.0005582238836917791,
20-2-3,EC20-R3-T1,EC20-R3,EC20,3,1,1316096.0,0.06975062051278243,2056.708823529412
20-3-3,EC20-R3-T2,EC20-R3,EC20,3,2,1178662.0,-0.1469929285497724,1634.757310311562
